2021-01-07 21:12:06.883 [main] INFO  com.yzz.service_edu.edu.ServiceEduApplication - Starting ServiceEduApplication using Java 1.8.0_251 on DESKTOP-VD7PFJ0 with PID 10804 (E:\Dev\project\OnlineEducation\service\service_edu\target\classes started by yky in E:\Dev\project\OnlineEducation)
2021-01-07 21:16:17.118 [http-nio-8001-exec-1] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表
2021-01-07 21:16:17.118 [http-nio-8001-exec-2] INFO  com.yzz.service_edu.edu.controller.SubjectController - 访问接口：获取课程分类列表服务
2021-01-07 21:16:17.137 [http-nio-8001-exec-1] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表，结束
2021-01-07 21:16:17.152 [http-nio-8001-exec-2] INFO  com.yzz.service_edu.edu.controller.SubjectController - 访问接口：获取课程分类列表服务，结束
2021-01-07 21:16:42.410 [http-nio-8001-exec-3] INFO  com.yzz.service_edu.edu.controller.LoginController - 获取用户信息ing
2021-01-07 21:17:17.388 [http-nio-8001-exec-6] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表
2021-01-07 21:17:17.388 [http-nio-8001-exec-5] INFO  com.yzz.service_edu.edu.controller.SubjectController - 访问接口：获取课程分类列表服务
2021-01-07 21:17:17.393 [http-nio-8001-exec-6] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表，结束
2021-01-07 21:17:17.396 [http-nio-8001-exec-5] INFO  com.yzz.service_edu.edu.controller.SubjectController - 访问接口：获取课程分类列表服务，结束
2021-01-07 21:17:54.502 [http-nio-8001-exec-8] INFO  com.yzz.service_edu.edu.controller.CourseController - 访问接口：添加课程信息
2021-01-07 21:17:54.513 [http-nio-8001-exec-8] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - start autofill gmtCreate...
2021-01-07 21:17:54.513 [http-nio-8001-exec-8] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - end autofill gmtCreate...
2021-01-07 21:17:54.520 [http-nio-8001-exec-8] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - start autofill gmtCreate...
2021-01-07 21:17:54.520 [http-nio-8001-exec-8] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - end autofill gmtCreate...
2021-01-07 21:17:54.522 [http-nio-8001-exec-8] INFO  com.yzz.service_edu.edu.controller.CourseController - 访问接口：添加课程信息，结束
2021-01-07 21:18:45.172 [http-nio-8001-exec-9] INFO  com.yzz.service_edu.edu.controller.LoginController - 获取用户信息ing
2021-01-07 21:20:06.278 [http-nio-8001-exec-2] INFO  com.yzz.service_edu.edu.controller.LoginController - 获取用户信息ing
2021-01-07 21:20:13.701 [http-nio-8001-exec-3] INFO  com.yzz.service_edu.edu.controller.SubjectController - 访问接口：获取课程分类列表服务
2021-01-07 21:20:13.701 [http-nio-8001-exec-4] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表
2021-01-07 21:20:13.704 [http-nio-8001-exec-4] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表，结束
